YEAR,INDICATOR_NAME,DATA_VALUE,DATA_SOURCE_NAME,DATABASE_NAME,PRODUCT,PRODUCT_DESCRIPTION,INDICATOR_TYPE,CATEGORY,CONTACT,FREQUENCY,AKFIN,ESR,PRELIMINARY,REPORT_CARD_TITLE,INTENDED_ESP_NAME,SUBMISSION_YEAR,GATE1_YEAR,GATE2_YEAR,REMOVED_YEAR,SIGN,WEIGHT,UNITS,INDICATOR_ORDER,REGION,TIME_START,TIME_END,STATUS_TRENDS,INFLUENTIAL_FACTORS,REFERENCE,DATA_SOURCE_DESCRIPTION
2004,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,12431,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,Areas occupied were determined as the minimum area containing 95% of the cumulative BBRKC CPUE from the EBS bottom trawl survey.,Ecosystem,Upper Trophic,Erin Fedewa,Annually,N,Aleutian Islands,N,Summer mature male red king crab area occupied in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Nmi^2,14,NA,NA,NA,NA,NA,NA,NA
2003,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,14837,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,Areas occupied were determined as the minimum area containing 95% of the cumulative BBRKC CPUE from the EBS bottom trawl survey.,Ecosystem,Upper Trophic,Erin Fedewa,Annually,N,Aleutian Islands,N,Summer mature male red king crab area occupied in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Nmi^2,14,NA,NA,NA,NA,NA,NA,NA
2002,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,14035,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,Areas occupied were determined as the minimum area containing 95% of the cumulative BBRKC CPUE from the EBS bottom trawl survey.,Ecosystem,Upper Trophic,Erin Fedewa,Annually,N,Aleutian Islands,N,Summer mature male red king crab area occupied in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Nmi^2,14,NA,NA,NA,NA,NA,NA,NA
2001,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,16842,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,Areas occupied were determined as the minimum area containing 95% of the cumulative BBRKC CPUE from the EBS bottom trawl survey.,Ecosystem,Upper Trophic,Erin Fedewa,Annually,N,Aleutian Islands,N,Summer mature male red king crab area occupied in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Nmi^2,14,NA,NA,NA,NA,NA,NA,NA
2000,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,16441,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,Areas occupied were determined as the minimum area containing 95% of the cumulative BBRKC CPUE from the EBS bottom trawl survey.,Ecosystem,Upper Trophic,Erin Fedewa,Annually,N,Aleutian Islands,N,Summer mature male red king crab area occupied in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Nmi^2,14,NA,NA,NA,NA,NA,NA,NA
1999,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,11228,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,Areas occupied were determined as the minimum area containing 95% of the cumulative BBRKC CPUE from the EBS bottom trawl survey.,Ecosystem,Upper Trophic,Erin Fedewa,Annually,N,Aleutian Islands,N,Summer mature male red king crab area occupied in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Nmi^2,14,NA,NA,NA,NA,NA,NA,NA
1998,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,14837,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,Areas occupied were determined as the minimum area containing 95% of the cumulative BBRKC CPUE from the EBS bottom trawl survey.,Ecosystem,Upper Trophic,Erin Fedewa,Annually,N,Aleutian Islands,N,Summer mature male red king crab area occupied in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Nmi^2,14,NA,NA,NA,NA,NA,NA,NA
1997,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,14035,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,Areas occupied were determined as the minimum area containing 95% of the cumulative BBRKC CPUE from the EBS bottom trawl survey.,Ecosystem,Upper Trophic,Erin Fedewa,Annually,N,Aleutian Islands,N,Summer mature male red king crab area occupied in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Nmi^2,14,NA,NA,NA,NA,NA,NA,NA
1996,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,14035,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,Areas occupied were determined as the minimum area containing 95% of the cumulative BBRKC CPUE from the EBS bottom trawl survey.,Ecosystem,Upper Trophic,Erin Fedewa,Annually,N,Aleutian Islands,N,Summer mature male red king crab area occupied in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Nmi^2,14,NA,NA,NA,NA,NA,NA,NA
1995,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,11228,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,Areas occupied were determined as the minimum area containing 95% of the cumulative BBRKC CPUE from the EBS bottom trawl survey.,Ecosystem,Upper Trophic,Erin Fedewa,Annually,N,Aleutian Islands,N,Summer mature male red king crab area occupied in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Nmi^2,14,NA,NA,NA,NA,NA,NA,NA
1994,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,12030,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,Areas occupied were determined as the minimum area containing 95% of the cumulative BBRKC CPUE from the EBS bottom trawl survey.,Ecosystem,Upper Trophic,Erin Fedewa,Annually,N,Aleutian Islands,N,Summer mature male red king crab area occupied in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Nmi^2,14,NA,NA,NA,NA,NA,NA,NA
1993,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,13233,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,Areas occupied were determined as the minimum area containing 95% of the cumulative BBRKC CPUE from the EBS bottom trawl survey.,Ecosystem,Upper Trophic,Erin Fedewa,Annually,N,Aleutian Islands,N,Summer mature male red king crab area occupied in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Nmi^2,14,NA,NA,NA,NA,NA,NA,NA
1992,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,14035,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,Areas occupied were determined as the minimum area containing 95% of the cumulative BBRKC CPUE from the EBS bottom trawl survey.,Ecosystem,Upper Trophic,Erin Fedewa,Annually,N,Aleutian Islands,N,Summer mature male red king crab area occupied in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Nmi^2,14,NA,NA,NA,NA,NA,NA,NA
1991,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,10426,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,Areas occupied were determined as the minimum area containing 95% of the cumulative BBRKC CPUE from the EBS bottom trawl survey.,Ecosystem,Upper Trophic,Erin Fedewa,Annually,N,Aleutian Islands,N,Summer mature male red king crab area occupied in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Nmi^2,14,NA,NA,NA,NA,NA,NA,NA
1990,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,16842,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,Areas occupied were determined as the minimum area containing 95% of the cumulative BBRKC CPUE from the EBS bottom trawl survey.,Ecosystem,Upper Trophic,Erin Fedewa,Annually,N,Aleutian Islands,N,Summer mature male red king crab area occupied in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Nmi^2,14,NA,NA,NA,NA,NA,NA,NA
1989,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,17243,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,Areas occupied were determined as the minimum area containing 95% of the cumulative BBRKC CPUE from the EBS bottom trawl survey.,Ecosystem,Upper Trophic,Erin Fedewa,Annually,N,Aleutian Islands,N,Summer mature male red king crab area occupied in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Nmi^2,14,NA,NA,NA,NA,NA,NA,NA
1988,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,17644,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,Areas occupied were determined as the minimum area containing 95% of the cumulative BBRKC CPUE from the EBS bottom trawl survey.,Ecosystem,Upper Trophic,Erin Fedewa,Annually,N,Aleutian Islands,N,Summer mature male red king crab area occupied in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Nmi^2,14,NA,NA,NA,NA,NA,NA,NA
1987,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,16842,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,Areas occupied were determined as the minimum area containing 95% of the cumulative BBRKC CPUE from the EBS bottom trawl survey.,Ecosystem,Upper Trophic,Erin Fedewa,Annually,N,Aleutian Islands,N,Summer mature male red king crab area occupied in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Nmi^2,14,NA,NA,NA,NA,NA,NA,NA
1986,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,10827,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,Areas occupied were determined as the minimum area containing 95% of the cumulative BBRKC CPUE from the EBS bottom trawl survey.,Ecosystem,Upper Trophic,Erin Fedewa,Annually,N,Aleutian Islands,N,Summer mature male red king crab area occupied in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Nmi^2,14,NA,NA,NA,NA,NA,NA,NA
1985,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,17243,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,Areas occupied were determined as the minimum area containing 95% of the cumulative BBRKC CPUE from the EBS bottom trawl survey.,Ecosystem,Upper Trophic,Erin Fedewa,Annually,N,Aleutian Islands,N,Summer mature male red king crab area occupied in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Nmi^2,14,NA,NA,NA,NA,NA,NA,NA
1984,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,13634,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,Areas occupied were determined as the minimum area containing 95% of the cumulative BBRKC CPUE from the EBS bottom trawl survey.,Ecosystem,Upper Trophic,Erin Fedewa,Annually,N,Aleutian Islands,N,Summer mature male red king crab area occupied in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Nmi^2,14,NA,NA,NA,NA,NA,NA,NA
1983,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,20451,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,Areas occupied were determined as the minimum area containing 95% of the cumulative BBRKC CPUE from the EBS bottom trawl survey.,Ecosystem,Upper Trophic,Erin Fedewa,Annually,N,Aleutian Islands,N,Summer mature male red king crab area occupied in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Nmi^2,14,NA,NA,NA,NA,NA,NA,NA
1982,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,18045,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,Areas occupied were determined as the minimum area containing 95% of the cumulative BBRKC CPUE from the EBS bottom trawl survey.,Ecosystem,Upper Trophic,Erin Fedewa,Annually,N,Aleutian Islands,N,Summer mature male red king crab area occupied in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Nmi^2,14,NA,NA,NA,NA,NA,NA,NA
1981,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,12030,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,Areas occupied were determined as the minimum area containing 95% of the cumulative BBRKC CPUE from the EBS bottom trawl survey.,Ecosystem,Upper Trophic,Erin Fedewa,Annually,N,Aleutian Islands,N,Summer mature male red king crab area occupied in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Nmi^2,14,NA,NA,NA,NA,NA,NA,NA
1980,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,16441,RACE Bottom Trawl Survey,AFSC RACEBASE,Summer_Red_King_Crab_Male_Area_Occupied_BBRKC_Model,Areas occupied were determined as the minimum area containing 95% of the cumulative BBRKC CPUE from the EBS bottom trawl survey.,Ecosystem,Upper Trophic,Erin Fedewa,Annually,N,Aleutian Islands,N,Summer mature male red king crab area occupied in Bristol Bay from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Nmi^2,14,NA,NA,NA,NA,NA,NA,NA
2023,Summer_Sockeye_Salmon_Abundance_EBS_Survey,NA,AFSC Bering-Aleutian Salmon International Survey,AFSC BASIS Survey,Summer_Sockeye_Salmon_Abundance_EBS_Survey,Sockeye salmon abundance was estimated from NOAA Bering Arctic Subarctic Integrated Surveys in the EBS.,Ecosystem,Upper Trophic,Ellen Yasumiishi,Annually,N,Eastern Bering Sea,N,September juvenile sockeye salmon abundance in the EBS from the AFSC Bering Arctic Subarctic Integrated Survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Mt,9,NA,NA,NA,NA,NA,NA,NA
2022,Summer_Sockeye_Salmon_Abundance_EBS_Survey,173570333,AFSC Bering-Aleutian Salmon International Survey,AFSC BASIS Survey,Summer_Sockeye_Salmon_Abundance_EBS_Survey,Sockeye salmon abundance was estimated from NOAA Bering Arctic Subarctic Integrated Surveys in the EBS.,Ecosystem,Upper Trophic,Ellen Yasumiishi,Annually,N,Eastern Bering Sea,N,September juvenile sockeye salmon abundance in the EBS from the AFSC Bering Arctic Subarctic Integrated Survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Mt,9,NA,NA,NA,NA,NA,NA,NA
2021,Summer_Sockeye_Salmon_Abundance_EBS_Survey,NA,AFSC Bering-Aleutian Salmon International Survey,AFSC BASIS Survey,Summer_Sockeye_Salmon_Abundance_EBS_Survey,Sockeye salmon abundance was estimated from NOAA Bering Arctic Subarctic Integrated Surveys in the EBS.,Ecosystem,Upper Trophic,Ellen Yasumiishi,Annually,N,Eastern Bering Sea,N,September juvenile sockeye salmon abundance in the EBS from the AFSC Bering Arctic Subarctic Integrated Survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Mt,9,NA,NA,NA,NA,NA,NA,NA
2020,Summer_Sockeye_Salmon_Abundance_EBS_Survey,NA,AFSC Bering-Aleutian Salmon International Survey,AFSC BASIS Survey,Summer_Sockeye_Salmon_Abundance_EBS_Survey,Sockeye salmon abundance was estimated from NOAA Bering Arctic Subarctic Integrated Surveys in the EBS.,Ecosystem,Upper Trophic,Ellen Yasumiishi,Annually,N,Eastern Bering Sea,N,September juvenile sockeye salmon abundance in the EBS from the AFSC Bering Arctic Subarctic Integrated Survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Mt,9,NA,NA,NA,NA,NA,NA,NA
2019,Summer_Sockeye_Salmon_Abundance_EBS_Survey,NA,AFSC Bering-Aleutian Salmon International Survey,AFSC BASIS Survey,Summer_Sockeye_Salmon_Abundance_EBS_Survey,Sockeye salmon abundance was estimated from NOAA Bering Arctic Subarctic Integrated Surveys in the EBS.,Ecosystem,Upper Trophic,Ellen Yasumiishi,Annually,N,Eastern Bering Sea,N,September juvenile sockeye salmon abundance in the EBS from the AFSC Bering Arctic Subarctic Integrated Survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Mt,9,NA,NA,NA,NA,NA,NA,NA
2018,Summer_Sockeye_Salmon_Abundance_EBS_Survey,216602885,AFSC Bering-Aleutian Salmon International Survey,AFSC BASIS Survey,Summer_Sockeye_Salmon_Abundance_EBS_Survey,Sockeye salmon abundance was estimated from NOAA Bering Arctic Subarctic Integrated Surveys in the EBS.,Ecosystem,Upper Trophic,Ellen Yasumiishi,Annually,N,Eastern Bering Sea,N,September juvenile sockeye salmon abundance in the EBS from the AFSC Bering Arctic Subarctic Integrated Survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Mt,9,NA,NA,NA,NA,NA,NA,NA
2017,Summer_Sockeye_Salmon_Abundance_EBS_Survey,NA,AFSC Bering-Aleutian Salmon International Survey,AFSC BASIS Survey,Summer_Sockeye_Salmon_Abundance_EBS_Survey,Sockeye salmon abundance was estimated from NOAA Bering Arctic Subarctic Integrated Surveys in the EBS.,Ecosystem,Upper Trophic,Ellen Yasumiishi,Annually,N,Eastern Bering Sea,N,September juvenile sockeye salmon abundance in the EBS from the AFSC Bering Arctic Subarctic Integrated Survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Mt,9,NA,NA,NA,NA,NA,NA,NA
2016,Summer_Sockeye_Salmon_Abundance_EBS_Survey,115917731,AFSC Bering-Aleutian Salmon International Survey,AFSC BASIS Survey,Summer_Sockeye_Salmon_Abundance_EBS_Survey,Sockeye salmon abundance was estimated from NOAA Bering Arctic Subarctic Integrated Surveys in the EBS.,Ecosystem,Upper Trophic,Ellen Yasumiishi,Annually,N,Eastern Bering Sea,N,September juvenile sockeye salmon abundance in the EBS from the AFSC Bering Arctic Subarctic Integrated Survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Mt,9,NA,NA,NA,NA,NA,NA,NA
2015,Summer_Sockeye_Salmon_Abundance_EBS_Survey,NA,AFSC Bering-Aleutian Salmon International Survey,AFSC BASIS Survey,Summer_Sockeye_Salmon_Abundance_EBS_Survey,Sockeye salmon abundance was estimated from NOAA Bering Arctic Subarctic Integrated Surveys in the EBS.,Ecosystem,Upper Trophic,Ellen Yasumiishi,Annually,N,Eastern Bering Sea,N,September juvenile sockeye salmon abundance in the EBS from the AFSC Bering Arctic Subarctic Integrated Survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Mt,9,NA,NA,NA,NA,NA,NA,NA
2014,Summer_Sockeye_Salmon_Abundance_EBS_Survey,120166333,AFSC Bering-Aleutian Salmon International Survey,AFSC BASIS Survey,Summer_Sockeye_Salmon_Abundance_EBS_Survey,Sockeye salmon abundance was estimated from NOAA Bering Arctic Subarctic Integrated Surveys in the EBS.,Ecosystem,Upper Trophic,Ellen Yasumiishi,Annually,N,Eastern Bering Sea,N,September juvenile sockeye salmon abundance in the EBS from the AFSC Bering Arctic Subarctic Integrated Survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Mt,9,NA,NA,NA,NA,NA,NA,NA
2013,Summer_Sockeye_Salmon_Abundance_EBS_Survey,NA,AFSC Bering-Aleutian Salmon International Survey,AFSC BASIS Survey,Summer_Sockeye_Salmon_Abundance_EBS_Survey,Sockeye salmon abundance was estimated from NOAA Bering Arctic Subarctic Integrated Surveys in the EBS.,Ecosystem,Upper Trophic,Ellen Yasumiishi,Annually,N,Eastern Bering Sea,N,September juvenile sockeye salmon abundance in the EBS from the AFSC Bering Arctic Subarctic Integrated Survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Mt,9,NA,NA,NA,NA,NA,NA,NA
2012,Summer_Sockeye_Salmon_Abundance_EBS_Survey,22521103,AFSC Bering-Aleutian Salmon International Survey,AFSC BASIS Survey,Summer_Sockeye_Salmon_Abundance_EBS_Survey,Sockeye salmon abundance was estimated from NOAA Bering Arctic Subarctic Integrated Surveys in the EBS.,Ecosystem,Upper Trophic,Ellen Yasumiishi,Annually,N,Eastern Bering Sea,N,September juvenile sockeye salmon abundance in the EBS from the AFSC Bering Arctic Subarctic Integrated Survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Mt,9,NA,NA,NA,NA,NA,NA,NA
2011,Summer_Sockeye_Salmon_Abundance_EBS_Survey,7985487,AFSC Bering-Aleutian Salmon International Survey,AFSC BASIS Survey,Summer_Sockeye_Salmon_Abundance_EBS_Survey,Sockeye salmon abundance was estimated from NOAA Bering Arctic Subarctic Integrated Surveys in the EBS.,Ecosystem,Upper Trophic,Ellen Yasumiishi,Annually,N,Eastern Bering Sea,N,September juvenile sockeye salmon abundance in the EBS from the AFSC Bering Arctic Subarctic Integrated Survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Mt,9,NA,NA,NA,NA,NA,NA,NA
2010,Summer_Sockeye_Salmon_Abundance_EBS_Survey,17380633,AFSC Bering-Aleutian Salmon International Survey,AFSC BASIS Survey,Summer_Sockeye_Salmon_Abundance_EBS_Survey,Sockeye salmon abundance was estimated from NOAA Bering Arctic Subarctic Integrated Surveys in the EBS.,Ecosystem,Upper Trophic,Ellen Yasumiishi,Annually,N,Eastern Bering Sea,N,September juvenile sockeye salmon abundance in the EBS from the AFSC Bering Arctic Subarctic Integrated Survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Mt,9,NA,NA,NA,NA,NA,NA,NA
2009,Summer_Sockeye_Salmon_Abundance_EBS_Survey,22470989,AFSC Bering-Aleutian Salmon International Survey,AFSC BASIS Survey,Summer_Sockeye_Salmon_Abundance_EBS_Survey,Sockeye salmon abundance was estimated from NOAA Bering Arctic Subarctic Integrated Surveys in the EBS.,Ecosystem,Upper Trophic,Ellen Yasumiishi,Annually,N,Eastern Bering Sea,N,September juvenile sockeye salmon abundance in the EBS from the AFSC Bering Arctic Subarctic Integrated Survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Mt,9,NA,NA,NA,NA,NA,NA,NA
2008,Summer_Sockeye_Salmon_Abundance_EBS_Survey,14852095,AFSC Bering-Aleutian Salmon International Survey,AFSC BASIS Survey,Summer_Sockeye_Salmon_Abundance_EBS_Survey,Sockeye salmon abundance was estimated from NOAA Bering Arctic Subarctic Integrated Surveys in the EBS.,Ecosystem,Upper Trophic,Ellen Yasumiishi,Annually,N,Eastern Bering Sea,N,September juvenile sockeye salmon abundance in the EBS from the AFSC Bering Arctic Subarctic Integrated Survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Mt,9,NA,NA,NA,NA,NA,NA,NA
2007,Summer_Sockeye_Salmon_Abundance_EBS_Survey,98756205,AFSC Bering-Aleutian Salmon International Survey,AFSC BASIS Survey,Summer_Sockeye_Salmon_Abundance_EBS_Survey,Sockeye salmon abundance was estimated from NOAA Bering Arctic Subarctic Integrated Surveys in the EBS.,Ecosystem,Upper Trophic,Ellen Yasumiishi,Annually,N,Eastern Bering Sea,N,September juvenile sockeye salmon abundance in the EBS from the AFSC Bering Arctic Subarctic Integrated Survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Mt,9,NA,NA,NA,NA,NA,NA,NA
2006,Summer_Sockeye_Salmon_Abundance_EBS_Survey,22304214,AFSC Bering-Aleutian Salmon International Survey,AFSC BASIS Survey,Summer_Sockeye_Salmon_Abundance_EBS_Survey,Sockeye salmon abundance was estimated from NOAA Bering Arctic Subarctic Integrated Surveys in the EBS.,Ecosystem,Upper Trophic,Ellen Yasumiishi,Annually,N,Eastern Bering Sea,N,September juvenile sockeye salmon abundance in the EBS from the AFSC Bering Arctic Subarctic Integrated Survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Mt,9,NA,NA,NA,NA,NA,NA,NA
2005,Summer_Sockeye_Salmon_Abundance_EBS_Survey,160166156,AFSC Bering-Aleutian Salmon International Survey,AFSC BASIS Survey,Summer_Sockeye_Salmon_Abundance_EBS_Survey,Sockeye salmon abundance was estimated from NOAA Bering Arctic Subarctic Integrated Surveys in the EBS.,Ecosystem,Upper Trophic,Ellen Yasumiishi,Annually,N,Eastern Bering Sea,N,September juvenile sockeye salmon abundance in the EBS from the AFSC Bering Arctic Subarctic Integrated Survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Mt,9,NA,NA,NA,NA,NA,NA,NA
2004,Summer_Sockeye_Salmon_Abundance_EBS_Survey,55911263,AFSC Bering-Aleutian Salmon International Survey,AFSC BASIS Survey,Summer_Sockeye_Salmon_Abundance_EBS_Survey,Sockeye salmon abundance was estimated from NOAA Bering Arctic Subarctic Integrated Surveys in the EBS.,Ecosystem,Upper Trophic,Ellen Yasumiishi,Annually,N,Eastern Bering Sea,N,September juvenile sockeye salmon abundance in the EBS from the AFSC Bering Arctic Subarctic Integrated Survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Mt,9,NA,NA,NA,NA,NA,NA,NA
2003,Summer_Sockeye_Salmon_Abundance_EBS_Survey,68434987,AFSC Bering-Aleutian Salmon International Survey,AFSC BASIS Survey,Summer_Sockeye_Salmon_Abundance_EBS_Survey,Sockeye salmon abundance was estimated from NOAA Bering Arctic Subarctic Integrated Surveys in the EBS.,Ecosystem,Upper Trophic,Ellen Yasumiishi,Annually,N,Eastern Bering Sea,N,September juvenile sockeye salmon abundance in the EBS from the AFSC Bering Arctic Subarctic Integrated Survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,Mt,9,NA,NA,NA,NA,NA,NA,NA
